Sample	Unique Reads	Duplicate Reads
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R1	6067231.0	1690828.0
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R1_val_1	6496009.0	1130840.0
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R2	6143189.0	1614870.0
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R2_val_2	6551176.0	1075673.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R1	5990484.0	1609438.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R1_val_1	6401071.0	1076526.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R2	6066921.0	1533001.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R2_val_2	6453693.0	1023904.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R1	6613078.0	1768667.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R1_val_1	7013989.0	1237847.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R2	6699743.0	1682002.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R2_val_2	7074758.0	1177078.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R1	6443815.0	1809459.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R1_val_1	6855423.0	1273358.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R2	6508939.0	1744335.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R2_val_2	6913834.0	1214947.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R1	4724912.0	1253982.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R1_val_1	5060837.0	827911.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R2	4790487.0	1188407.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880_R2_val_2	5110005.0	778743.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R1	4490177.0	1183715.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R1_val_1	4805946.0	787605.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R2	4542145.0	1131747.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880_R2_val_2	4844669.0	748882.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R1	5997590.0	1544890.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R1_val_1	6389164.0	1040977.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R2	6064427.0	1478053.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880_R2_val_2	6441100.0	989041.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880_R1	5746131.0	1483191.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880_R1_val_1	6128139.0	991684.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880_R2	5824898.0	1404424.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880_R2_val_2	6182539.0	937284.0
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880_R1	7272239.0	4916870.0
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880_R1_val_1	7665862.0	4367626.0
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880_R2	7399645.0	4789464.0
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880_R2_val_2	7772077.0	4261411.0
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880_R1	5985146.0	3867686.0
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880_R1_val_1	6301962.0	3420462.0
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880_R2	6086907.0	3765925.0
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880_R2_val_2	6371138.0	3351286.0
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880_R1	5178351.0	1711579.0
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880_R1_val_1	5508344.0	1295342.0
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880_R2	5241796.0	1648134.0
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880_R2_val_2	5563818.0	1239868.0
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880_R1	6245356.0	2376174.0
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880_R1_val_1	6697754.0	1816216.0
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880_R2	6346563.0	2274967.0
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880_R2_val_2	6776704.0	1737266.0
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880_R1	5496704.0	3071228.0
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880_R1_val_1	5958138.0	2489197.0
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880_R2	5607647.0	2960285.0
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880_R2_val_2	6046417.0	2400918.0
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880_R1	6254402.0	3617821.0
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880_R1_val_1	6814152.0	2918637.0
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880_R2	6378782.0	3493441.0
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880_R2_val_2	6912039.0	2820750.0
