Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R1	67.59147106049922	13.271714114034868	5.704128942585333	3.4144763611916393	2.1584555789324145	1.4125833153810559	1.028516749223949	0.8279647407310883	0.6508224614865431	3.5281634863084403	0.27884860145426626	0.07412521455474522	0.0	0.05872937361642717	0.0	0.0
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R1_val_1	76.94925687966378	11.1895774820387	4.101081316941299	2.2290391260510485	1.3338325271266158	0.8317076380762541	0.5877979873732214	0.44479385124281445	0.3051185283768707	1.8957384687087255	0.11272432301669685	0.019331871383961308	0.0	0.0	0.0	0.0
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R2	68.94516112466953	12.828679102499304	5.610840235712698	3.167659446448264	2.0642794170747254	1.4690659826741674	0.9576169535907705	0.7306572901594012	0.5904056109488217	3.1780566656622065	0.3039695646580455	0.04485754526497255	0.0	0.04228919732142354	0.06646186331563804	0.0
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R2_val_2	77.97295995949364	10.883205373845136	3.983144066120153	2.007845197883764	1.2265813253913316	0.7556194788175961	0.6002052929980959	0.3958266247610121	0.27889850126206545	1.7414998642438981	0.10292338079807267	0.011775555362661385	0.0	0.039515379022543845	0.0	0.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R1	68.46646658536304	12.892893895492158	5.693730853193158	3.269168139400628	2.170966301576198	1.3958657505700292	1.0000048189025768	0.7835258126868688	0.58918936014809	3.3957345964935173	0.2560343120492507	0.060906799777374246	0.0	0.02551277434708705	0.0	0.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R1_val_1	77.56281625292804	10.998007593901688	4.001134665961133	2.097367322877961	1.2775566361578223	0.8499031914576984	0.5479710862653092	0.43068314709970623	0.2771474613152742	1.8464671357502367	0.10522365592195754	0.00572185036318434	0.0	0.0	0.0	0.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R2	69.8383704248946	12.582909725745536	5.414079789105868	3.0864581626072867	2.0500148127232345	1.3354990528174067	0.9340533725840406	0.7534441702970951	0.5359154060519438	3.0877653559254568	0.25019492778774355	0.04058123485996068	0.0	0.0907135645998104	0.0	0.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R2_val_2	78.57042237488045	10.675011701839855	3.842616865914471	1.9338049256377086	1.2253487718077032	0.7562128264872896	0.5158168396103802	0.3878929594950202	0.301263799284415	1.6554521172191436	0.08530635451277484	0.013713505527351042	0.0	0.03713695778343166	0.0	0.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R1	69.44458536878895	11.961423218510845	4.985748495014435	2.8209308583152906	1.801492356696324	1.2736997993543953	0.8703121551913743	0.7171372776440144	0.5517156613731459	4.149635181564762	0.9475319944879025	0.4407049579502959	0.0	0.035082675108215444	0.0	0.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R1_val_1	77.48809586427954	10.269554214361698	3.6243705240704	1.8435558008162698	1.1749347290764622	0.8180933080961899	0.5535368444095491	0.427523678563775	0.3332732244010639	2.7635981323978407	0.5414105445583327	0.16205313496885435	0.0	0.0	0.0	0.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R2	70.9068693523136	11.440227376269641	4.745608023423467	2.757429017321304	1.7059526041801676	1.1550478060704017	0.872554077195117	0.630841233860796	0.4979841682378691	3.8810897405500597	0.9406899348453502	0.3762592302175926	0.0	0.08944743551462889	0.0	0.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R2_val_2	78.58014349437109	9.805835968438638	3.3931950156355675	1.8318144239846117	1.0907894087253023	0.7476710523631915	0.5752431761533763	0.364437693370255	0.31144922360478616	2.645043912788686	0.4845140787790164	0.12868959874165697	0.0	0.04117295304378732	0.0	0.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R1	68.45085172424503	11.809337526918275	5.267260070278573	3.0395855480853986	2.0136788201617977	1.3683692210471852	0.9645830897921124	0.8151118899048805	0.5560640383687717	4.313113819614937	0.9604485887340728	0.40421522235446156	0.0	0.037380440494574466	0.0	0.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R1_val_1	76.57364294751562	10.389169726426685	3.806399958840165	2.1247515251118525	1.3501110177671989	0.8623742868989965	0.6001058849938462	0.4205046095064715	0.33973634780843054	2.8556013984428135	0.5455779999096133	0.13202429677824915	0.0	0.0	0.0	0.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880_R2	69.44153031222937	11.712024194011533	5.0986459317560096	2.9312639325937444	1.871913017126878	1.3342830449371879	0.9229634983675343	0.7041940511393517	0.5375963071692802	4.1200649037065125	0.8879873381436297	0.3531815159033169	0.0	0.0843519529156689	0.0	0.0
