Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R1	Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7758059.0	0.0	76.0	56.0	78.20552543991982	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R1_val_1	Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7626849.0	0.0	20-61	56.0	85.17289569444007	53.44294570405157	60	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R2	Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7758059.0	0.0	76.0	56.0	79.18461059417342	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R2_val_2	Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7626849.0	0.0	20-61	56.0	85.89623189088485	53.43742179765195	60	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R1	Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7599922.0	0.0	76.0	56.0	78.82296092326469	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R1_val_1	Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7477597.0	0.0	20-61	55.0	85.60330752293478	53.6281596881993	60	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R2	Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7599922.0	0.0	76.0	55.0	79.82872592217521	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R2_val_2	Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7477597.0	0.0	20-61	55.0	86.30703406210695	53.61806312910418	60	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R1	Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8381745.0	0.0	76.0	54.0	78.89857719650544	76.0	76	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R1_val_1	Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8251836.0	0.0	20-61	54.0	84.99912291323717	53.94586089689616	60	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
