Sample	peak_count	fragment_size	treatment_fragments_total	d
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880.FDR50_free_macs2	57476	81.0	3100504.0	81.0
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880.free_macs2	50203	81.0	3100504.0	81.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880.FDR50_free_macs2	56917	81.0	3033610.0	81.0
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880.free_macs2	49462	81.0	3033610.0	81.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880.FDR50_free_macs2	58270	81.0	3160233.0	81.0
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880.free_macs2	41787	81.0	3160233.0	81.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.FDR50_free_macs2	58431	81.0	3082926.0	81.0
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.free_macs2	49904	81.0	3082926.0	81.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880.FDR50_free_macs2	55467	81.0	2435463.0	81.0
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880.free_macs2	49146	81.0	2435463.0	81.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880.FDR50_free_macs2	54159	81.0	2279591.0	81.0
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880.free_macs2	47983	81.0	2279591.0	81.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880.FDR50_free_macs2	58864	81.0	2968107.0	81.0
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880.free_macs2	50953	81.0	2968107.0	81.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.FDR50_free_macs2	58585	81.0	2909221.0	81.0
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.free_macs2	50770	81.0	2909221.0	81.0
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880.FDR50_free_macs2	66245	81.0	2903724.0	81.0
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880.free_macs2	49548	81.0	2903724.0	81.0
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880.FDR50_free_macs2	56218	81.0	2324275.0	81.0
Tcells-Day14_CD4_CentralMemory_CD19_rep2-GSM5171853-GSE168880.free_macs2	43663	81.0	2324275.0	81.0
Tcells-Day14_CD4_CentralMemory_HA_rep1-GSM5171854-GSE168880.free_macs2	58772	81.0	2197873.0	81.0
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880.FDR50_free_macs2	78625	81.0	2726714.0	81.0
Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880.free_macs2	68055	81.0	2726714.0	81.0
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880.FDR50_free_macs2	67583	81.0	2413054.0	81.0
Tcells-Day14_CD4_Naive_CD19_rep1-GSM5171856-GSE168880.free_macs2	58883	81.0	2413054.0	81.0
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880.FDR50_free_macs2	73185	81.0	2868631.0	81.0
Tcells-Day14_CD4_Naive_CD19_rep2-GSM5171857-GSE168880.free_macs2	64077	81.0	2868631.0	81.0
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880.FDR50_free_macs2	81793	81.0	2725917.0	81.0
Tcells-Day14_CD4_Naive_HA_rep1-GSM5171858-GSE168880.free_macs2	68309	81.0	2725917.0	81.0
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.FDR50_free_macs2	80514	81.0	2569461.0	81.0
Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.free_macs2	67292	81.0	2569461.0	81.0
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880.FDR50_free_macs2	69653	81.0	3008971.0	81.0
Tcells-Day14_CD8_CentralMemory_CD19_rep1-GSM5171860-GSE168880.free_macs2	59685	81.0	3008971.0	81.0
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.FDR50_free_macs2	60124	81.0	2220650.0	81.0
Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.free_macs2	51752	81.0	2220650.0	81.0
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.FDR50_free_macs2	76303	81.0	2620648.0	81.0
Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.free_macs2	65586	81.0	2620648.0	81.0
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880.FDR50_free_macs2	85751	81.0	3237862.0	81.0
Tcells-Day14_CD8_CentralMemory_HA_rep2-GSM5171863-GSE168880.free_macs2	74043	81.0	3237862.0	81.0
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.FDR50_free_macs2	66348	81.0	2375843.0	81.0
Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.free_macs2	57831	81.0	2375843.0	81.0
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880.FDR50_free_macs2	69077	81.0	2543644.0	81.0
Tcells-Day14_CD8_Naive_CD19_rep2-GSM5171865-GSE168880.free_macs2	60512	81.0	2543644.0	81.0
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880.FDR50_free_macs2	69037	81.0	2423171.0	81.0
Tcells-Day14_CD8_Naive_HA_rep1-GSM5171866-GSE168880.free_macs2	60523	81.0	2423171.0	81.0
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.FDR50_free_macs2	65972	81.0	2204101.0	81.0
Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.free_macs2	57096	81.0	2204101.0	81.0
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.FDR50_free_macs2	56902	81.0	2362204.0	81.0
Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.free_macs2	41521	81.0	2362204.0	81.0
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880.FDR50_free_macs2	55563	81.0	2172742.0	81.0
Tcells-Day7_CD4_CentralMemory_CD19_rep2-GSM5171837-GSE168880.free_macs2	41733	81.0	2172742.0	81.0
Tcells-Day7_CD4_CentralMemory_HA_rep1-GSM5171838-GSE168880.free_macs2	55892	81.0	2286059.0	81.0
Tcells-Day7_CD4_CentralMemory_HA_rep2-GSM5171839-GSE168880.free_macs2	50966	81.0	1900883.0	81.0
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880.FDR50_free_macs2	54141	81.0	2453646.0	81.0
Tcells-Day7_CD4_Naive_CD19_rep1-GSM5171840-GSE168880.free_macs2	34525	81.0	2453646.0	81.0
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880.FDR50_free_macs2	55548	81.0	2495369.0	81.0
Tcells-Day7_CD4_Naive_CD19_rep2-GSM5171841-GSE168880.free_macs2	35823	81.0	2495369.0	81.0
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.FDR50_free_macs2	84173	81.0	3150864.0	81.0
Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.free_macs2	60653	81.0	3150864.0	81.0
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880.FDR50_free_macs2	70945	81.0	2458206.0	81.0
Tcells-Day7_CD4_Naive_HA_rep2-GSM5171843-GSE168880.free_macs2	52121	81.0	2458206.0	81.0
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880.FDR50_free_macs2	42867	81.0	2143413.0	81.0
Tcells-Day7_CD8_CentralMemory_CD19_rep1-GSM5171844-GSE168880.free_macs2	22072	81.0	2143413.0	81.0
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.FDR50_free_macs2	47825	81.0	2315334.0	81.0
Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.free_macs2	24423	81.0	2315334.0	81.0
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880.FDR50_free_macs2	74403	81.0	2393166.0	81.0
Tcells-Day7_CD8_CentralMemory_HA_rep1-GSM5171846-GSE168880.free_macs2	57768	81.0	2393166.0	81.0
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.FDR50_free_macs2	79254	81.0	2626547.0	81.0
Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.free_macs2	62650	81.0	2626547.0	81.0
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.FDR50_free_macs2	67883	81.0	2929809.0	81.0
Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.free_macs2	28012	81.0	2929809.0	81.0
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880.FDR50_free_macs2	64834	81.0	2792805.0	81.0
Tcells-Day7_CD8_Naive_CD19_rep2-GSM5171849-GSE168880.free_macs2	27215	81.0	2792805.0	81.0
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880.FDR50_free_macs2	75492	81.0	2708090.0	81.0
Tcells-Day7_CD8_Naive_HA_rep1-GSM5171850-GSE168880.free_macs2	51195	81.0	2708090.0	81.0
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880.FDR50_free_macs2	62787	81.0	2262751.0	81.0
Tcells-Day7_CD8_Naive_HA_rep2-GSM5171851-GSE168880.free_macs2	40809	81.0	2262751.0	81.0
