Module	Section	Sample Name	Source
phantompeakqualtools	all_sections	HepG2-POLR2G-GSM3393557	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_STDrep_ChIPseq_GSE120104/rhel8_check_20240307/Stats/HepG2-POLR2G-GSM3393557.spp.out
phantompeakqualtools	all_sections	HepG2-input-GSM3393574	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_STDrep_ChIPseq_GSE120104/rhel8_check_20240307/Stats/HepG2-input-GSM3393574.spp.out
phantompeakqualtools	all_sections	K562-U2AF1-GSM3393580	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_STDrep_ChIPseq_GSE120104/Stats/K562-U2AF1-GSM3393580.spp.out
phantompeakqualtools	all_sections	K562-FIP1L1-GSM3393595	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_STDrep_ChIPseq_GSE120104/Stats/K562-FIP1L1-GSM3393595.spp.out
phantompeakqualtools	all_sections	HepG2-PCBP1-GSM3393541	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_STDrep_ChIPseq_GSE120104/Stats/HepG2-PCBP1-GSM3393541.spp.out
phantompeakqualtools	all_sections	HepG2-AGO2-GSM3393553	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_STDrep_ChIPseq_GSE120104/Stats/HepG2-AGO2-GSM3393553.spp.out
phantompeakqualtools	all_sections	K562-U2AF2-GSM3393581	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_STDrep_ChIPseq_GSE120104/Stats/K562-U2AF2-GSM3393581.spp.out
phantompeakqualtools	all_sections	K562-AGO1-GSM3393600	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_STDrep_ChIPseq_GSE120104/Stats/K562-AGO1-GSM3393600.spp.out
phantompeakqualtools	all_sections	K562-CCAR2-GSM3393609	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_STDrep_ChIPseq_GSE120104/Stats/K562-CCAR2-GSM3393609.spp.out
phantompeakqualtools	all_sections	HepG2-CCAR2-GSM3393561	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_STDrep_ChIPseq_GSE120104/Stats/HepG2-CCAR2-GSM3393561.spp.out
