Module	Section	Sample Name	Source
STAR	ReadsPerGene	SRP065216-GSM1915637-SU353-Blast.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915637-SU353-Blast/166614835/SRP065216-GSM1915637-SU353-Blast.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915626-7653-NKcell.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915626-7653-NKcell/166614813/SRP065216-GSM1915626-7653-NKcell.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915631-SU070-pHSC.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915631-SU070-pHSC/166614823/SRP065216-GSM1915631-SU070-pHSC.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915610-7256-GMP.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915610-7256-GMP/166614781/SRP065216-GSM1915610-7256-GMP.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915623-7653-MEP.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915623-7653-MEP/166614807/SRP065216-GSM1915623-7653-MEP.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915599-5852-Mono.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915599-5852-Mono/166614759/SRP065216-GSM1915599-5852-Mono.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915620-7653-GMP.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915620-7653-GMP/166614801/SRP065216-GSM1915620-7653-GMP.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915628-SU048-pHSC.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915628-SU048-pHSC/166614817/SRP065216-GSM1915628-SU048-pHSC.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915616-7653-Bcell.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915616-7653-Bcell/166614793/SRP065216-GSM1915616-7653-Bcell.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915635-SU351-Blast.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915635-SU351-Blast/166614831/SRP065216-GSM1915635-SU351-Blast.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915649-SU501-pHSC.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915649-SU501-pHSC/166614859/SRP065216-GSM1915649-SU501-pHSC.STAR.ReadsPerGene.out.tab
STAR	ReadsPerGene	SRP065216-GSM1915589-5483-Ery.STAR	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE75384_RNAseq_hg19/mapping_hg19/CLI-GSE75384-UNSTRANDED/SRP065216-GSM1915589-5483-Ery/166614739/SRP065216-GSM1915589-5483-Ery.STAR.ReadsPerGene.out.tab
