Module	Section	Sample Name	Source
Bismark	deduplication	ENCSR707MKB_rep1	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/OLD/supplementaryFiles/BismarkReports/ENCSR707MKB_rep1.deduplication_report.txt
Bismark	deduplication	ENCSR707MKB_rep2	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/OLD/supplementaryFiles/BismarkReports/ENCSR707MKB_rep2.deduplication_report.txt
Bismark	methylation_extraction	ENCSR707MKB_rep1	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/OLD/supplementaryFiles/BismarkReports/ENCSR707MKB_rep1.deduplicated_splitting_report.txt
Bismark	methylation_extraction	ENCSR707MKB_rep2	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/OLD/supplementaryFiles/BismarkReports/ENCSR707MKB_rep2.deduplicated_splitting_report.txt
Bismark	m_bias	ENCSR707MKB_rep2	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/OLD/supplementaryFiles/BismarkReports/ENCSR707MKB_rep2.deduplicated.M-bias.txt
Bismark	m_bias	ENCSR707MKB_rep1	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/OLD/supplementaryFiles/BismarkReports/ENCSR707MKB_rep1.deduplicated.M-bias.txt
Cutadapt	all_sections	ENCSR707MKB_rep1.R1	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/OLD/supplementaryFiles/trimmingReports/ENCSR707MKB_rep1_val_1.trimming_report.txt
Cutadapt	all_sections	ENCSR707MKB_rep2.R1	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/OLD/supplementaryFiles/trimmingReports/ENCSR707MKB_rep2_val_1.trimming_report.txt
Cutadapt	all_sections	ENCSR707MKB_rep1.R2	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/OLD/supplementaryFiles/trimmingReports/ENCSR707MKB_rep1_val_2.trimming_report.txt
Cutadapt	all_sections	ENCSR707MKB_rep2.R2	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/OLD/supplementaryFiles/trimmingReports/ENCSR707MKB_rep2_val_2.trimming_report.txt
FastQC	all_sections	ENCSR707MKB_rep1.R1	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/supplementaryFiles/FASTQC/RAW/ENCSR707MKB_rep1.R1_fastqc.zip
FastQC	all_sections	ENCSR707MKB_rep2.R2	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/supplementaryFiles/FASTQC/RAW/ENCSR707MKB_rep2.R2_fastqc.zip
FastQC	all_sections	ENCSR707MKB_rep2.R1	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/supplementaryFiles/FASTQC/RAW/ENCSR707MKB_rep2.R1_fastqc.zip
FastQC	all_sections	ENCSR707MKB_rep1.R2	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/supplementaryFiles/FASTQC/RAW/ENCSR707MKB_rep1.R2_fastqc.zip
FastQC	all_sections	ENCSR707MKB_rep2_val_1	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/supplementaryFiles/FASTQC/TRIM/ENCSR707MKB_rep2_val_1_fastqc.zip
FastQC	all_sections	ENCSR707MKB_rep1_val_2	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/supplementaryFiles/FASTQC/TRIM/ENCSR707MKB_rep1_val_2_fastqc.zip
FastQC	all_sections	ENCSR707MKB_rep1_val_1	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/supplementaryFiles/FASTQC/TRIM/ENCSR707MKB_rep1_val_1_fastqc.zip
FastQC	all_sections	ENCSR707MKB_rep2_val_2	/research_jude/rgs01_jude/groups/cab/projects/automapper/common/wrosikie/ExampleReports/Epigenetics_mapping_WGBS_ENCSR707MKB/supplementaryFiles/FASTQC/TRIM/ENCSR707MKB_rep2_val_2_fastqc.zip
