Region	log2FC	log2AveExpr	t.value	p.value	q.value	FPKM.WT_rep1	FPKM.WT_rep2	FPKM.E545K_rep1	FPKM.E545K_rep2	FPKM.H1047R_rep1	FPKM.H1047R_rep2	theAUC	UpRank	DownRank	MADScore	MADScoreGrp1	MADScoreGrp2	Averlog2FPKMGrp1	Averlog2FPKMGrp2	RegionSize	Regulation	Gene_2kb	Gencode_ids	Gene_2-50kb	Gencode_ids.1	Closest_Gene	Gencode_id	Distance	FeatureAssignment	-log2FC	aveEnrichment	PRank_metric	FCRank_metric	FCPRank_metric	FCPERank_metric
chrX:99234507-99234843	-6.45155451882377	-0.599234883316368	-10.3283308501302	7.20755433986167e-07	0.0002661515836746	19.93105	16.90285	0.0	0.0	2.33147	1.08867	1.0	220411.0	25.0	1.013631434107	0.037310642042	0.0	4.318800758767	0.790956981941	336	Down2	.	.	.	.	XRCC6P5	ENSG00000215070.4	486315	Intergenic	6.45155451882377	6.709006666666667	-6.142212074654204	-6.45155451882377	-39.62681606580925	-35.14892328931873
chr7:8801089-8801308	-6.24440917559272	-0.701076027068122	-10.6230587694877	5.47778316054068e-07	0.0002393345114143	24.62217	24.23261	0.0	0.0	0.7949	3.34056	1.0	220492.0	9.0	1.054568283671	0.003429031199	0.0	4.699285257528	0.790956981941	219	Down2	.	.	.	.	NXPH1	ENSG00000122584.13	50082	Dis3 (3' distal regions)	6.24440917559272	8.831706666666667	-6.261395163400884	-6.24440917559272	-39.09871341035236	-38.81051338060463
chr9:11064967-11065307	-6.15523825854277	0.844910195279196	-8.53725282788726	4.45213744509122e-06	0.000602745385292	47.32292	42.71841	1.65016	0.0	0.51201	0.0	1.0	220512.0	4.0	0.792155331182	0.019076520379	0.56003275062	5.535030037088	1.271097388525	340	Down2	.	.	.	.	AKAP8P1	ENSG00000234146.1	53219	Intergenic	6.15523825854277	15.36725	-5.351431436717545	-6.15523825854277	-32.93933551725233	-39.987553420933246
chrX:146035977-146036314	-6.09610874088052	0.0165762651656857	-8.64431022972026	3.96069528313319e-06	0.000567794138686	27.61421	22.37817	0.41621	0.0	0.0	0.0	1.0	220469.0	13.0	0.982718084917	0.044521021356	0.242030198922	4.723398078172	0.945269520834	337	Down2	.	.	.	.	SLITRK2	ENSG00000185985.9	208567	Dis5 (5' distal regions)	6.09610874088052	8.401431666666666	-5.402228568841441	-6.09610874088052	-32.932572798748765	-32.049782047094546
chr15:90762092-90762333	-5.90732012916994	-0.869126697645948	-10.0022922150421	9.83972253080898e-07	0.0003047301757418	17.3222	17.77093	0.0	0.0	3.97285	2.27671	1.0	220419.0	30.0	1.016644700995	0.005797335468	0.0	4.25911059552	0.790956981941	241	Down2	BLM	ENSG00000197299.12	.	.	BLM	ENSG00000197299.12	32	Promoter.Up	5.90732012916994	6.890448333333334	-6.007017148015566	-5.90732012916994	-35.48537331474136	-31.83398803084829
chrX:112830609-112830820	-5.83832255943798	-0.906324292129657	-9.29903305982643	1.98320491322494e-06	0.0004168247422121	21.02163	17.20884	0.0	0.0	0.82504	0.0	1.0	220431.0	24.0	1.015823234846	0.044946122063	0.0	4.365955449203	0.790956981941	211	Down2	.	.	AMOT	ENSG00000126016.15	AMOT	ENSG00000126016.15	5482	Intron	5.83832255943798	6.509251666666667	-5.702632410310507	-5.83832255943798	-33.293807449298015	-29.151946588302486
chr6:69139199-69139456	-5.68803268561226	0.185276408665348	-8.45705172656918	4.86344855310134e-06	0.0006256379850273	33.84119	30.06868	1.09154	0.0	2.0321	0.0	1.0	220498.0	12.0	0.836248123407	0.023717027759	0.455221303739	5.061787921416	1.141422170514	257	Down2	.	.	.	.	ADGRB3	ENSG00000135298.14	92951	Intron	5.68803268561226	11.172251666666666	-5.313055673850877	-5.68803268561226	-30.220834333341458	-32.8008148544728
chr13:56720908-56721178	-5.63483561681493	-0.213591215797637	-8.42382997206714	5.04571000327526e-06	0.000635470836983	24.48097	20.68983	0.51949	0.0	1.61188	1.35478	1.0	220427.0	16.0	0.928751975839	0.036427572871	0.284705212829	4.58963888814	0.978944757073	270	Down2	.	.	.	.	PRR20C	ENSG00000229665.8	419741	Intergenic	5.63483561681493	8.109491666666665	-5.297077713706772	-5.63483561681493	-29.848162166231518	-28.63913677444788
chr1:5424912-5425147	-5.59724312759938	-0.230339151193504	-8.84703596888813	3.18346768882039e-06	0.0005221832822529	25.16632	25.35605	0.59687	0.0	0.74078	0.0	1.0	220450.0	14.0	0.879869971709	0.001542684844	0.313644762446	4.744564047068	1.003180261958	235	Down2	.	.	.	.	Z98259.2	ENSG00000284666.1	56881	Intergenic	5.59724312759938	8.643336666666666	-5.497099553727962	-5.59724312759938	-30.76860269883345	-30.28329965279251
chr3:195118735-195119086	-5.56722831891244	0.127027130893195	-8.44757813249624	4.91468569772677e-06	0.0006288825151063	20.81378	22.28136	0.79922	0.0	1.98385	3.6475	1.0	220430.0	37.0	0.825557156796	0.014837352732	0.37939086249	4.530418099223	1.062965109293	351	Down2	.	.	XXYLT1,XXYLT1-AS1,XXYLT1-AS2	ENSG00000173950.16,ENSG00000230266.1,ENSG00000233303.1	XXYLT1	ENSG00000173950.16	3106	Intron	5.56722831891244	8.254285	-5.3085042507937	-5.56722831891244	-29.55365519608575	-28.55896398528912
