Region	log2FC	log2AveExpr	t.value	p.value	q.value	FPKM.WT_rep1	FPKM.WT_rep2	FPKM.E545K_rep1	FPKM.E545K_rep2	FPKM.H1047R_rep1	FPKM.H1047R_rep2	theAUC	UpRank	DownRank	MADScore	MADScoreGrp1	MADScoreGrp2	Averlog2FPKMGrp1	Averlog2FPKMGrp2	RegionSize	Regulation	Gene_2kb	Gencode_ids	Gene_2-50kb	Gencode_ids.1	Closest_Gene	Gencode_id	Distance	FeatureAssignment	-log2FC	aveEnrichment	PRank_metric	FCRank_metric	FCPRank_metric	FCPERank_metric
chrX:146035977-146036314	-7.06511066393748	-0.437588421679457	-9.44349534247847	3.3232504294955298e-12	1.2252378728080501e-09	27.62366	22.38598	0.41609	0.0	0.0	0.0	1.0	223849.0	13.0	1.04832986105	0.04427460268	0.0	4.75159977256	0.79095698194	337	Down2	.	.	.	.	SLITRK2	ENSG00000185985.9	208567	Dis5 (5' distal regions)	7.06511066393748	8.404288333333334	-11.478436930448645	-7.06511066393748	-81.0964271626465	-78.93325587650371
chr19:31153897-31154358	-6.72859557213399	1.24167211744445	-11.7112243442221	3.3808890831360504e-15	5.59113307163812e-12	48.12454	48.48766	1.82502	1.56997	0.1888	0.79162	1.0	223896.0	3.0	0.91686808531	0.00137108763	0.25865037354	5.6633744172	1.14138948936	461	Down2	.	.	LINC01791	ENSG00000267777.2	LINC01791	ENSG00000267777.2	13100	Intron	6.72859557213399	16.83126833333333	-14.470969076904186	-6.72859557213399	-97.3692984553454	-121.82673651276734
chr9:11064967-11065307	-6.65042960009077	0.574986906975604	-9.98112083699807	6.11677804412219e-13	3.32369698784627e-10	47.33912	42.73332	1.64967	0.0	0.51198	0.0	1.0	223898.0	1.0	0.9938300157	0.01895434612	0.28615832615	5.56408275881	0.98013371404	340	Down2	.	.	.	.	AKAP8P1	ENSG00000234146.1	53219	Intergenic	6.65042960009077	15.372348333333331	-12.213477278201209	-6.65042960009077	-81.22487081098537	-98.61600717538752
chrX:112968479-112968745	-6.63807227935567	-0.65134150015051	-8.98107572003936	1.4647385614096297e-11	3.9096870206926404e-09	25.18468	21.70856	2.63576	0.54418	0.0	0.0	1.0	223838.0	18.0	1.04499601152	0.03170878683	0.0	4.66840363954	0.79095698194	266	Down2	.	.	.	.	AMOT	ENSG00000126016.15	127665	Intron	6.63807227935567	8.345529999999998	-10.834239884845331	-6.63807227935567	-71.91846744748136	-69.80434757202497
chr3:165460237-165460582	-6.6246739010311	-0.658447676093036	-8.89870763463142	1.91257313634778e-11	4.72894586628258e-09	19.66993	16.19769	0.81288	2.51741	0.0	0.0	1.0	223753.0	50.0	1.01092669249	0.04398842345	0.0	4.30929306909	0.79095698194	345	Down2	LINC01322	ENSG00000244128.7	.	.	LINC01322	ENSG00000244128.7	0	Promoter.Up	6.6246739010311	6.532985	-10.718381948537765	-6.6246739010311	-71.005785155761	-62.26973767928055
chr16:9797379-9797654	-6.6085013494078	-0.663495088055632	-8.92978796406703	1.72926849168886e-11	4.4094800823213115e-09	20.56402	24.04621	9.68808	4.21094	0.0	0.0	1.0	223832.0	22.0	1.03901211366	0.03376670998	0.0	4.60105100763	0.79095698194	275	Down2	.	.	GRIN2A	ENSG00000183454.17	GRIN2A	ENSG00000183454.17	28152	Intron	6.6085013494078	9.751541666666666	-10.762137571557629	-6.6085013494078	-71.12160066415096	-73.35985023260973
chrX:112461973-112462374	-6.52918807457375	-0.707420824715745	-8.56893352064233	5.6063010091035095e-11	1.11256799773441e-08	16.70605	12.30984	1.74841	0.0	0.0	0.0	1.0	223577.0	115.0	0.97486451102	0.07248199984	0.0	4.02504868735	0.79095698194	401	Down2	.	.	RTL4	ENSG00000187823.3	RTL4	ENSG00000187823.3	7473	Dis3 (3' distal regions)	6.52918807457375	5.127383333333333	-10.25132358815205	-6.52918807457375	-66.93281972035896	-52.69453905521207
chr16:35398151-35398475	-6.4909585473615	-0.72374711293158	-8.86489772763685	2.134366261793769e-11	5.15956071571946e-09	17.45403	17.24754	1.73114	1.34029	0.0	0.0	1.0	223763.0	57.0	1.01859761928	0.00271273339	0.0	4.27145685659	0.79095698194	324	Down2	.	.	AGGF1P4,AGGF1P5,C2orf69P3,C2orf69P4,FRG2GP,FRG2IP,LINC01566,RARRES2P7,ZNF971P	ENSG00000214581.6,ENSG00000259841.6,ENSG00000260291.1,ENSG00000260480.1,ENSG00000260598.1,ENSG00000260680.1,ENSG00000260812.1,ENSG00000261299.1,ENSG00000261689.1	AGGF1P4	ENSG00000261689.1	8149	Dis5 (5' distal regions)	6.4909585473615	6.2955000000000005	-10.670731052658878	-6.4909585473615	-69.26327293285192	-59.77801830117799
chr6:69190650-69191118	-6.47475860665738	0.486697228085027	-9.44491037902472	3.3083271459054098e-12	1.22368962116223e-09	32.53266	25.6723	0.89886	1.23719	0.37195	0.0	1.0	223871.0	12.0	1.01119482733	0.04825526118	0.22588075654	4.95546260206	0.93312235611	468	Down2	.	.	ADGRB3	ENSG00000135298.14	ADGRB3	ENSG00000135298.14	41289	Intron	6.47475860665738	10.118826666666664	-11.480391551526822	-6.47475860665738	-74.33276400604495	-77.75645380940735
chr3:18975949-18976180	-6.44273132015779	-0.0274969327473797	-9.01709848484751	1.3037497095509699e-11	3.56332751454604e-09	37.28641	36.69022	12.74747	20.05208	0.0	0.78991	1.0	223909.0	17.0	0.88772925201	0.00311297473	0.38174718166	5.29319752162	1.06524033176	231	Down2	.	.	.	.	KCNH8	ENSG00000183960.9	172331	Dis5 (5' distal regions)	6.44273132015779	17.92768166666667	-10.884805775317416	-6.44273132015779	-70.12787908247192	-89.56013367117501
