Module	Section	Sample Name	Source
MACS2	all_sections	Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880/186550828/Peaks/Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880/186550828/Peaks/Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880/186550886/Peaks/Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880/186550886/Peaks/Tcells-Day7_CD8_Naive_CD19_rep1-GSM5171848-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880/186550854/Peaks/Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880/186550854/Peaks/Tcells-Day14_CD8_Naive_CD19_rep1-GSM5171864-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880/186550862/Peaks/Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880/186550862/Peaks/Tcells-Day7_CD4_CentralMemory_CD19_rep1-GSM5171836-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880/186550844/Peaks/Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880/186550844/Peaks/Tcells-Day14_CD4_Naive_HA_rep2-GSM5171859-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880/186550850/Peaks/Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880/186550850/Peaks/Tcells-Day14_CD8_CentralMemory_HA_rep1-GSM5171862-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880/186550820/Peaks/Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880/186550820/Peaks/Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880/186550874/Peaks/Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880/186550874/Peaks/Tcells-Day7_CD4_Naive_HA_rep1-GSM5171842-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880/186550860/Peaks/Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880/186550860/Peaks/Tcells-Day14_CD8_Naive_HA_rep2-GSM5171867-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880/186550848/Peaks/Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880/186550848/Peaks/Tcells-Day14_CD8_CentralMemory_CD19_rep2-GSM5171861-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880/186550880/Peaks/Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880/186550880/Peaks/Tcells-Day7_CD8_CentralMemory_CD19_rep2-GSM5171845-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880/186550884/Peaks/Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.FDR50_free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880/186550884/Peaks/Tcells-Day7_CD8_CentralMemory_HA_rep2-GSM5171847-GSE168880.FDR50_free_macs2_peaks.xls
MACS2	all_sections	Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880.free_macs2	/research_jude/rgs01_jude/groups/cligrp/projects/CutandRun/common/cab/GSE168880_ATACseq/mapping_hg19/CLI-GSE168880-ATACSEQ/Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880/186550836/Peaks/Tcells-Day14_CD4_CentralMemory_HA_rep2-GSM5171855-GSE168880.free_macs2_peaks.xls
