Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880	15255793	0	2095	0	0	0	1003169	0	15017337	0	98.44	nan	15253698	0	7626849	0	7626849	0	14825666	0	97.19	nan	14927408	0	87834	0	0.58	nan	46602	0	22795	0	15255793
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880.chrM	372790	0	1	0	0	0	110287	0	371821	0	99.74	nan	372789	0	186443	0	186346	0	369830	0	99.21	nan	370851	0	969	0	0.26	nan	173	0	164	0	372790
Tcells-Day0_CD4_CentralMemory_rep1-GSM5171828-GSE168880.noXYM	13823862	0	1929	0	0	0	854925	0	13742530	0	99.41	nan	13821933	0	6910862	0	6911071	0	13568184	0	98.16	nan	13659269	0	81332	0	0.59	nan	42437	0	21791	0	13823862
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880	14957210	0	2016	0	0	0	918616	0	14747673	0	98.6	nan	14955194	0	7477597	0	7477597	0	14560546	0	97.36	nan	14658428	0	87229	0	0.58	nan	47886	0	23458	0	14957210
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880.chrM	356278	0	0	0	0	0	101220	0	355328	0	99.73	nan	356278	0	178183	0	178095	0	353382	0	99.19	nan	354378	0	950	0	0.27	nan	190	0	184	0	356278
Tcells-Day0_CD4_CentralMemory_rep2-GSM5171829-GSE168880.noXYM	13587982	0	1872	0	0	0	783053	0	13507101	0	99.4	nan	13586110	0	6792891	0	6793219	0	13336220	0	98.16	nan	13424348	0	80881	0	0.6	nan	43744	0	22433	0	13587982
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880	16505882	0	2210	0	0	0	1118560	0	16281648	0	98.64	nan	16503672	0	8251836	0	8251836	0	16080208	0	97.43	nan	16188988	0	90450	0	0.55	nan	53814	0	25451	0	16505882
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880.chrM	664496	0	1	0	0	0	250767	0	662602	0	99.71	nan	664495	0	332358	0	332137	0	658546	0	99.1	nan	660707	0	1894	0	0.29	nan	365	0	354	0	664496
Tcells-Day0_CD4_Naive_rep1-GSM5171830-GSE168880.noXYM	14624740	0	2021	0	0	0	817510	0	14542908	0	99.44	nan	14622719	0	7311139	0	7311580	0	14364758	0	98.24	nan	14459055	0	81832	0	0.56	nan	48347	0	24069	0	14624740
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880	16259631	0	2069	0	0	0	1085811	0	16048495	0	98.7	nan	16257562	0	8128781	0	8128781	0	15847306	0	97.48	nan	15955526	0	90900	0	0.56	nan	52490	0	25033	0	16259631
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.chrM	644518	0	1	0	0	0	240383	0	642801	0	99.73	nan	644517	0	322334	0	322183	0	638994	0	99.14	nan	641083	0	1717	0	0.27	nan	333	0	323	0	644518
Tcells-Day0_CD4_Naive_rep2-GSM5171831-GSE168880.noXYM	14432213	0	1908	0	0	0	796299	0	14349657	0	99.43	nan	14430305	0	7214966	0	7215339	0	14170960	0	98.2	nan	14265193	0	82556	0	0.57	nan	47319	0	23686	0	14432213
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880	11779063	0	1567	0	0	0	679213	0	11611213	0	98.58	nan	11777496	0	5888748	0	5888748	0	11460082	0	97.3	nan	11539622	0	70024	0	0.59	nan	36124	0	17964	0	11779063
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880.chrM	256665	0	3	0	0	0	67107	0	256008	0	99.74	nan	256662	0	128354	0	128308	0	254792	0	99.27	nan	255348	0	657	0	0.26	nan	124	0	116	0	256665
Tcells-Day0_CD8_CentralMemory_rep1-GSM5171832-GSE168880.noXYM	10726514	0	1447	0	0	0	585254	0	10661543	0	99.39	nan	10725067	0	5362425	0	5362642	0	10523512	0	98.12	nan	10595125	0	64971	0	0.61	nan	33099	0	17298	0	10726514
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880	11188576	0	1474	0	0	0	646063	0	11034768	0	98.63	nan	11187102	0	5593551	0	5593551	0	10889342	0	97.34	nan	10965608	0	67686	0	0.61	nan	35084	0	17497	0	11188576
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880.chrM	261124	0	2	0	0	0	68757	0	260480	0	99.75	nan	261122	0	130582	0	130540	0	259188	0	99.26	nan	259834	0	644	0	0.25	nan	140	0	138	0	261124
Tcells-Day0_CD8_CentralMemory_rep2-GSM5171833-GSE168880.noXYM	10179454	0	1376	0	0	0	552747	0	10116698	0	99.38	nan	10178078	0	5088952	0	5089126	0	9983638	0	98.09	nan	10052566	0	62756	0	0.62	nan	32202	0	16846	0	10179454
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880	14862209	0	1927	0	0	0	833886	0	14647113	0	98.55	nan	14860282	0	7430141	0	7430141	0	14465800	0	97.35	nan	14560576	0	84610	0	0.57	nan	45326	0	22006	0	14862209
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880.chrM	337212	0	1	0	0	0	88334	0	336255	0	99.72	nan	337211	0	168639	0	168572	0	334132	0	99.09	nan	335297	0	957	0	0.28	nan	191	0	185	0	337212
Tcells-Day0_CD8_Naive_rep1-GSM5171834-GSE168880.noXYM	13439962	0	1785	0	0	0	703791	0	13362493	0	99.42	nan	13438177	0	6718903	0	6719274	0	13200042	0	98.23	nan	13283239	0	77469	0	0.58	nan	41167	0	21045	0	13439962
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880	14241574	0	1928	0	0	0	791002	0	14050409	0	98.66	nan	14239646	0	7119823	0	7119823	0	13869858	0	97.4	nan	13966384	0	82097	0	0.58	nan	45310	0	21945	0	14241574
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.chrM	347796	0	2	0	0	0	92945	0	346802	0	99.71	nan	347794	0	173941	0	173853	0	344622	0	99.09	nan	345806	0	994	0	0.29	nan	206	0	195	0	347796
Tcells-Day0_CD8_Naive_rep2-GSM5171835-GSE168880.noXYM	12870955	0	1783	0	0	0	659290	0	12795635	0	99.41	nan	12869172	0	6434460	0	6434712	0	12633466	0	98.17	nan	12718532	0	75320	0	0.59	nan	41078	0	20942	0	12870955
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880	24069308	0	2332	0	0	0	7272211	0	23792112	0	98.85	nan	24066976	0	12033488	0	12033488	0	23524968	0	97.75	nan	23687580	0	102200	0	0.42	nan	68540	0	31821	0	24069308
Tcells-Day14_CD4_CentralMemory_CD19_rep1-GSM5171852-GSE168880.chrM	8004729	0	42	0	0	0	6230878	0	7982151	0	99.72	nan	8004687	0	4003251	0	4001436	0	7940792	0	99.2	nan	7959531	0	22578	0	0.28	nan	4161	0	3983	0	8004729
